Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
206,"Kris Russell",STL,D,42,13,,,,1,3,5,2,18,2,12,23,0
207,"Zack Smith",OTT,C,41,13,,,,3,3,-4,15,23,0,26,8,104
208,"Dustin Penner",LAK,LW,41,13,,,,1,5,3,6,26,1,20,2,2
209,"Alex Pietrangelo",STL,D,40,12,,,,2,5,-2,0,27,0,7,32,0
210,"Eric Fehr",WSH,RW,40,13,,,,2,3,5,4,32,1,16,4,0
211,"Jay Harrison",CAR,D,40,13,,,,1,1,1,12,14,0,19,28,0
212,"Jack Skille",FLA,RW,40,12,,,,1,5,1,0,30,0,29,9,4
213,"Colin Greening",OTT,C,39,13,,,,3,2,5,4,26,0,38,13,6
214,"Clayton Stoner",MIN,D,39,12,,,,0,6,5,4,11,0,28,16,0
215,"Duncan Keith",CHI,D,39,11,,,,1,7,8,2,26,0,2,15,0
216,"Bryan Little",WPG,C,39,15,,,,2,6,2,2,25,1,11,7,151
217,"Nathan Horton",BOS,RW,39,15,,,,2,4,-3,9,33,1,16,4,2
218,"Eric Nystrom",DAL,LW,38,11,,,,2,1,-3,16,11,0,38,6,4
219,"Jimmy Howard",DET,G,38,10,6,0.911,2.595,,,,,,,,,
220,"Jonathan Quick",LAK,G,38,12,6,0.9005,2.465,,,,,,,,,
221,"Henrik Lundqvist",NYR,G,38,13,6,0.9195,2.25,,,,,,,,,
222,"Luke Schenn",PHI,D,38,10,,,,0,1,-8,10,22,0,48,19,0
223,"Michael Stone",PHX,D,37,14,,,,2,0,4,2,14,0,35,22,0
224,"Matt Beleskey",ANA,LW,37,12,,,,1,0,-2,19,17,0,31,8,1
225,"Mark Giordano",CGY,D,37,13,,,,2,3,0,8,10,0,25,21,0
226,"Matt Niskanen",PIT,D,37,14,,,,1,3,7,6,20,0,20,13,0
227,"Ben Lovejoy",ANA,D,37,9,,,,0,4,3,10,18,0,24,13,0
228,"Daniel Winnik",ANA,LW,36,14,,,,1,6,4,4,21,0,14,9,4
229,"Paul Stastny",COL,C,36,12,,,,3,4,-6,4,22,4,9,10,126
230,"Blake Comeau",CGY,LW,36,13,,,,4,1,-3,6,21,0,32,6,11
231,"Derek Roy",DAL,C,36,11,,,,2,7,1,2,19,2,9,13,89
232,"Viktor Stalberg",CHI,LW,36,11,,,,0,7,4,2,30,1,7,6,0
233,"Patrik Elias",NJD,LW,35,13,,,,5,2,-1,4,32,1,8,2,19
234,"Ryane Clowe",SJS,LW,35,10,,,,0,5,-4,9,23,1,26,6,0
235,"Stephane Robidas",DAL,D,35,11,,,,0,1,-4,9,10,0,37,29,0
236,"Derick Brassard",CBJ,C,35,12,,,,2,4,4,8,23,2,22,1,57
237,"Mike Brown",EDM,RW,35,12,,,,1,0,-4,27,8,0,32,6,2
238,"Tomas Vokoun",PIT,G,35,7,6,0.903,2.885,,,,,,,,,
239,"Oliver Ekman-Larsson",PHX,D,35,14,,,,0,6,-7,6,31,3,23,3,0
240,"Cal Clutterbuck",MIN,RW,34,10,,,,1,2,-5,15,20,0,35,6,1
241,"Dan Hamhuis",VAN,D,34,15,,,,1,5,4,0,21,0,14,21,0
242,"Jiri Tlusty",CAR,C,34,13,,,,5,3,4,4,29,1,14,11,1
243,"Chuck Kobasew",COL,RW,34,14,,,,2,2,4,15,17,0,13,5,10
244,"Rostislav Klesla",PHX,D,33,14,,,,0,4,1,10,13,0,14,24,0
245,"Fedor Tyutin",CBJ,D,33,13,,,,1,4,2,8,12,1,10,20,1
246,"Frans Nielsen",NYI,C,32,13,,,,1,7,1,6,22,2,5,12,70
247,"Maxime Talbot",PHI,RW,32,11,,,,3,1,4,0,16,0,26,10,39
248,"Lubomir Visnovsky",NYI,D,32,11,,,,2,1,1,2,25,2,11,19,0
249,"Travis Hamonic",NYI,D,31,13,,,,0,2,1,4,20,0,17,29,0
250,"Jiri Hudler",CGY,LW,31,13,,,,3,5,-4,10,14,3,4,3,2
251,"Brad Stuart",SJS,D,31,14,,,,0,2,-2,6,10,0,31,28,0
252,"Matt Hendricks",WSH,C,31,14,,,,1,2,-4,18,22,0,26,15,46
253,"Trevor Lewis",LAK,C,30,15,,,,3,4,0,4,32,0,24,13,7
